ticket_id,jira_status,jira_id,reason,total_attachments,successful_attachments,failed_attachments,attachment_type,created_at,updated_at
54,success,FTJM-47580,,0,0,0,none,2025-08-25T23:17:11.183636,2025-08-25T23:17:11.183636
52,success,FTJM-47582,,0,0,0,none,2025-08-25T23:17:11.956087,2025-08-25T23:17:11.956087
60,success,FTJM-47583,,0,0,0,none,2025-08-25T23:17:12.753661,2025-08-25T23:17:12.753661
59,success,FTJM-47584,,0,0,0,none,2025-08-25T23:17:13.052064,2025-08-25T23:17:13.052064
57,success,FTJM-47581,,1,1,0,attachment,2025-08-25T23:17:13.220099,2025-08-25T23:17:13.220099
56,success,FTJM-47586,,0,0,0,none,2025-08-25T23:17:13.894672,2025-08-25T23:17:13.894672
58,success,FTJM-47585,,0,0,0,none,2025-08-25T23:17:13.996376,2025-08-25T23:17:13.996376
55,success,FTJM-47579,,3,3,0,attachment,2025-08-25T23:17:14.233876,2025-08-25T23:17:14.233876
63,success,FTJM-47588,,0,0,0,none,2025-08-25T23:17:15.099197,2025-08-25T23:17:15.099197
65,success,FTJM-47589,,0,0,0,none,2025-08-25T23:17:15.493590,2025-08-25T23:17:15.493590
61,success,FTJM-47587,,1,1,0,attachment,2025-08-25T23:17:16.023728,2025-08-25T23:17:16.023728
67,success,FTJM-47591,,0,0,0,none,2025-08-25T23:17:16.223202,2025-08-25T23:17:16.223202
66,success,FTJM-47590,,0,0,0,none,2025-08-25T23:17:16.363449,2025-08-25T23:17:16.363449
69,success,FTJM-47592,,0,0,0,none,2025-08-25T23:17:17.434513,2025-08-25T23:17:17.434513
68,success,FTJM-47593,,0,0,0,none,2025-08-25T23:17:17.619706,2025-08-25T23:17:17.619706
70,success,FTJM-47594,,0,0,0,none,2025-08-25T23:17:17.987110,2025-08-25T23:17:17.987110
72,success,FTJM-47595,,0,0,0,none,2025-08-25T23:17:18.641069,2025-08-25T23:17:18.641069
74,success,FTJM-47596,,0,0,0,none,2025-08-25T23:17:18.949287,2025-08-25T23:17:18.949287
75,success,FTJM-47597,,0,0,0,none,2025-08-25T23:17:19.370812,2025-08-25T23:17:19.370812
76,success,FTJM-47598,,0,0,0,none,2025-08-25T23:17:19.912481,2025-08-25T23:17:19.912481
77,success,FTJM-47599,,0,0,0,none,2025-08-25T23:17:20.656898,2025-08-25T23:17:20.656898
78,success,FTJM-47600,,0,0,0,none,2025-08-25T23:17:21.030054,2025-08-25T23:17:21.030054
79,success,FTJM-47601,,0,0,0,none,2025-08-25T23:17:21.582138,2025-08-25T23:17:21.582138
81,success,FTJM-47602,,0,0,0,none,2025-08-25T23:17:22.005886,2025-08-25T23:17:22.005886
85,success,FTJM-47606,,0,0,0,none,2025-08-25T23:17:24.344808,2025-08-25T23:17:24.344808
82,success,FTJM-47603,,1,1,0,attachment,2025-08-25T23:17:24.387418,2025-08-25T23:17:24.387418
86,success,FTJM-47607,,0,0,0,none,2025-08-25T23:17:24.499108,2025-08-25T23:17:24.499108
83,success,FTJM-47604,,1,1,0,attachment,2025-08-25T23:17:24.603903,2025-08-25T23:17:24.603903
87,success,FTJM-47608,,0,0,0,none,2025-08-25T23:17:25.124442,2025-08-25T23:17:25.124442
88,success,FTJM-47609,,0,0,0,none,2025-08-25T23:17:25.467463,2025-08-25T23:17:25.467463
84,success,FTJM-47605,,1,1,0,attachment,2025-08-25T23:17:25.478045,2025-08-25T23:17:25.478045
89,success,FTJM-47610,,0,0,0,none,2025-08-25T23:17:25.982975,2025-08-25T23:17:25.982975
91,success,FTJM-47612,,0,0,0,none,2025-08-25T23:17:26.908934,2025-08-25T23:17:26.908934
92,success,FTJM-47613,,0,0,0,none,2025-08-25T23:17:27.399570,2025-08-25T23:17:27.399570
93,success,FTJM-47614,,0,0,0,none,2025-08-25T23:17:28.019827,2025-08-25T23:17:28.019827
90,success,FTJM-47611,,2,2,0,attachment,2025-08-25T23:17:29.132950,2025-08-25T23:17:29.132950
95,success,FTJM-47616,,0,0,0,none,2025-08-25T23:17:29.189239,2025-08-25T23:17:29.189239
97,success,FTJM-47617,,0,0,0,none,2025-08-25T23:17:29.566018,2025-08-25T23:17:29.566018
98,success,FTJM-47618,,0,0,0,none,2025-08-25T23:17:30.354099,2025-08-25T23:17:30.354099
99,success,FTJM-47619,,0,0,0,none,2025-08-25T23:17:31.007772,2025-08-25T23:17:31.007772
100,success,FTJM-47620,,0,0,0,none,2025-08-25T23:17:31.340985,2025-08-25T23:17:31.340985
101,success,FTJM-47621,,0,0,0,none,2025-08-25T23:17:31.660053,2025-08-25T23:17:31.660053
103,success,FTJM-47622,,0,0,0,none,2025-08-25T23:17:32.310782,2025-08-25T23:17:32.310782
104,success,FTJM-47623,,0,0,0,none,2025-08-25T23:17:32.999141,2025-08-25T23:17:32.999141
106,success,FTJM-47625,,0,0,0,none,2025-08-25T23:17:33.727328,2025-08-25T23:17:33.727328
94,success,FTJM-47615,,3,3,0,conversation,2025-08-25T23:17:33.788808,2025-08-25T23:17:33.788808
107,success,FTJM-47626,,0,0,0,none,2025-08-25T23:17:34.072770,2025-08-25T23:17:34.072770
108,success,FTJM-47627,,0,0,0,none,2025-08-25T23:17:34.548397,2025-08-25T23:17:34.548397
